condition,timestep,active_neurons,motor_spikes,locomotion_drive,left_drive,right_drive,turn_bias,endocrine_drive,action
sensory,164,573,10,0.6203703703703703,0.0,0.4900398406374502,0.4900398406374502,0.0,turn_right
sensory,165,260,4,0.19444444444444445,0.0,0.26294820717131473,0.26294820717131473,1.0,turn_right
sensory,166,147,1,0.16666666666666666,0.0,0.09561752988047809,0.09561752988047809,0.0,walk_forward
sensory,167,573,10,0.6203703703703703,0.0,0.4900398406374502,0.4900398406374502,0.0,turn_right
sensory,168,260,4,0.19444444444444445,0.0,0.26294820717131473,0.26294820717131473,1.0,turn_right
sensory,169,147,1,0.16666666666666666,0.0,0.09561752988047809,0.09561752988047809,0.0,walk_forward
sensory,170,573,10,0.6203703703703703,0.0,0.4900398406374502,0.4900398406374502,0.0,turn_right
sensory,171,260,4,0.19444444444444445,0.0,0.26294820717131473,0.26294820717131473,1.0,turn_right
sensory,172,147,1,0.16666666666666666,0.0,0.09561752988047809,0.09561752988047809,0.0,walk_forward
sensory,173,573,10,0.6203703703703703,0.0,0.4900398406374502,0.4900398406374502,0.0,turn_right
sensory,174,260,4,0.19444444444444445,0.0,0.26294820717131473,0.26294820717131473,1.0,turn_right
sensory,175,147,1,0.16666666666666666,0.0,0.09561752988047809,0.09561752988047809,0.0,walk_forward
sensory,176,573,10,0.6203703703703703,0.0,0.4900398406374502,0.4900398406374502,0.0,turn_right
sensory,177,260,4,0.19444444444444445,0.0,0.26294820717131473,0.26294820717131473,1.0,turn_right
sensory,178,147,1,0.16666666666666666,0.0,0.09561752988047809,0.09561752988047809,0.0,walk_forward
sensory,179,573,10,0.6203703703703703,0.0,0.4900398406374502,0.4900398406374502,0.0,turn_right
sensory,180,260,4,0.19444444444444445,0.0,0.26294820717131473,0.26294820717131473,1.0,turn_right
sensory,181,147,1,0.16666666666666666,0.0,0.09561752988047809,0.09561752988047809,0.0,walk_forward
sensory,182,573,10,0.6203703703703703,0.0,0.4900398406374502,0.4900398406374502,0.0,turn_right
sensory,183,260,4,0.19444444444444445,0.0,0.26294820717131473,0.26294820717131473,1.0,turn_right
sensory,184,147,1,0.16666666666666666,0.0,0.09561752988047809,0.09561752988047809,0.0,walk_forward
