condition,step,x,y,heading,left_sensor,right_sensor,requested_action,action,locomotion_drive,left_drive,right_drive,turn_bias,collision
right,25,26.426457901982918,4.186389044059055,-0.7,0.0,0.0,turn_right,turn_right,0.42857142857142855,0.39285714285714285,0.5121951219512195,0.11933797909407667,False
right,26,26.896144258406608,4.01494014033133,-0.35,0.0,0.15612199140948274,turn_left,turn_left,0.2857142857142857,0.32142857142857145,0.1951219512195122,-0.12630662020905925,False
right,27,27.365830614830298,3.843491236603604,-0.35,0.0,0.0,walk_forward,walk_forward,0.2857142857142857,0.2857142857142857,0.2926829268292683,0.006968641114982577,False
right,28,27.74825170847254,3.5213823929847585,-0.7,0.0,0.0,turn_right,turn_right,0.42857142857142855,0.39285714285714285,0.5121951219512195,0.11933797909407667,False
right,29,28.21793806489623,3.3499334892570327,-0.35,0.0,0.1023615147109135,turn_left,turn_left,0.2857142857142857,0.32142857142857145,0.1951219512195122,-0.12630662020905925,False
right,30,28.68762442131992,3.178484585529307,-0.35,0.0,0.0,walk_forward,walk_forward,0.2857142857142857,0.2857142857142857,0.2926829268292683,0.006968641114982577,False
right,31,29.070045514962164,2.8563757419104614,-0.7,0.0,0.0,turn_right,turn_right,0.42857142857142855,0.39285714285714285,0.5121951219512195,0.11933797909407667,False
right,32,29.539731871385854,2.6849268381827356,-0.35,0.0,0.059776084374330594,turn_left,turn_left,0.2857142857142857,0.32142857142857145,0.1951219512195122,-0.12630662020905925,False
right,33,29.539731871385854,2.6849268381827356,-0.35,0.0,0.0,walk_forward,rest,0.0,0.2857142857142857,0.2926829268292683,0.006968641114982577,True
right,34,29.922152965028097,2.36281799456389,-0.7,0.0,0.0,turn_right,turn_right,0.42857142857142855,0.39285714285714285,0.5121951219512195,0.11933797909407667,False
right,35,29.922152965028097,2.36281799456389,-0.7,0.0,0.03553203612043764,turn_left,rest,0.0,0.32142857142857145,0.1951219512195122,-0.12630662020905925,True
right,36,29.922152965028097,2.36281799456389,-0.7,0.0,0.03553203612043764,walk_forward,rest,0.0,0.2857142857142857,0.2926829268292683,0.006968641114982577,True
right,37,29.922152965028097,2.36281799456389,-0.7,0.0,0.03553203612043764,turn_right,rest,0.0,0.39285714285714285,0.5121951219512195,0.11933797909407667,True
right,38,29.922152965028097,2.36281799456389,-0.7,0.0,0.03553203612043764,turn_left,rest,0.0,0.32142857142857145,0.1951219512195122,-0.12630662020905925,True
right,39,29.922152965028097,2.36281799456389,-0.7,0.0,0.03553203612043764,walk_forward,rest,0.0,0.2857142857142857,0.2926829268292683,0.006968641114982577,True
right,40,29.922152965028097,2.36281799456389,-0.7,0.0,0.03553203612043764,turn_right,rest,0.0,0.39285714285714285,0.5121951219512195,0.11933797909407667,True
right,41,29.922152965028097,2.36281799456389,-0.7,0.0,0.03553203612043764,turn_left,rest,0.0,0.32142857142857145,0.1951219512195122,-0.12630662020905925,True
right,42,29.922152965028097,2.36281799456389,-0.7,0.0,0.03553203612043764,walk_forward,rest,0.0,0.2857142857142857,0.2926829268292683,0.006968641114982577,True
right,43,29.922152965028097,2.36281799456389,-0.7,0.0,0.03553203612043764,turn_right,rest,0.0,0.39285714285714285,0.5121951219512195,0.11933797909407667,True
right,44,29.922152965028097,2.36281799456389,-0.7,0.0,0.03553203612043764,turn_left,rest,0.0,0.32142857142857145,0.1951219512195122,-0.12630662020905925,True
right,45,29.922152965028097,2.36281799456389,-0.7,0.0,0.03553203612043764,walk_forward,rest,0.0,0.2857142857142857,0.2926829268292683,0.006968641114982577,True
right,46,29.922152965028097,2.36281799456389,-0.7,0.0,0.03553203612043764,turn_right,rest,0.0,0.39285714285714285,0.5121951219512195,0.11933797909407667,True
right,47,29.922152965028097,2.36281799456389,-0.7,0.0,0.03553203612043764,turn_left,rest,0.0,0.32142857142857145,0.1951219512195122,-0.12630662020905925,True
right,48,29.922152965028097,2.36281799456389,-0.7,0.0,0.03553203612043764,walk_forward,rest,0.0,0.2857142857142857,0.2926829268292683,0.006968641114982577,True
right,49,29.922152965028097,2.36281799456389,-0.7,0.0,0.03553203612043764,turn_right,rest,0.0,0.39285714285714285,0.5121951219512195,0.11933797909407667,True
right,50,29.922152965028097,2.36281799456389,-0.7,0.0,0.03553203612043764,turn_left,rest,0.0,0.32142857142857145,0.1951219512195122,-0.12630662020905925,True
right,51,29.922152965028097,2.36281799456389,-0.7,0.0,0.03553203612043764,walk_forward,rest,0.0,0.2857142857142857,0.2926829268292683,0.006968641114982577,True
right,52,29.922152965028097,2.36281799456389,-0.7,0.0,0.03553203612043764,turn_right,rest,0.0,0.39285714285714285,0.5121951219512195,0.11933797909407667,True
right,53,29.922152965028097,2.36281799456389,-0.7,0.0,0.03553203612043764,turn_left,rest,0.0,0.32142857142857145,0.1951219512195122,-0.12630662020905925,True
right,54,29.922152965028097,2.36281799456389,-0.7,0.0,0.03553203612043764,walk_forward,rest,0.0,0.2857142857142857,0.2926829268292683,0.006968641114982577,True
right,55,29.922152965028097,2.36281799456389,-0.7,0.0,0.03553203612043764,turn_right,rest,0.0,0.39285714285714285,0.5121951219512195,0.11933797909407667,True
right,56,29.922152965028097,2.36281799456389,-0.7,0.0,0.03553203612043764,turn_left,rest,0.0,0.32142857142857145,0.1951219512195122,-0.12630662020905925,True
right,57,29.922152965028097,2.36281799456389,-0.7,0.0,0.03553203612043764,walk_forward,rest,0.0,0.2857142857142857,0.2926829268292683,0.006968641114982577,True
right,58,29.922152965028097,2.36281799456389,-0.7,0.0,0.03553203612043764,turn_right,rest,0.0,0.39285714285714285,0.5121951219512195,0.11933797909407667,True
right,59,29.922152965028097,2.36281799456389,-0.7,0.0,0.03553203612043764,turn_left,rest,0.0,0.32142857142857145,0.1951219512195122,-0.12630662020905925,True
right,60,29.922152965028097,2.36281799456389,-0.7,0.0,0.03553203612043764,walk_forward,rest,0.0,0.2857142857142857,0.2926829268292683,0.006968641114982577,True
right,61,29.922152965028097,2.36281799456389,-0.7,0.0,0.03553203612043764,turn_right,rest,0.0,0.39285714285714285,0.5121951219512195,0.11933797909407667,True
right,62,29.922152965028097,2.36281799456389,-0.7,0.0,0.03553203612043764,turn_left,rest,0.0,0.32142857142857145,0.1951219512195122,-0.12630662020905925,True
right,63,29.922152965028097,2.36281799456389,-0.7,0.0,0.03553203612043764,walk_forward,rest,0.0,0.2857142857142857,0.2926829268292683,0.006968641114982577,True
right,64,29.922152965028097,2.36281799456389,-0.7,0.0,0.03553203612043764,turn_right,rest,0.0,0.39285714285714285,0.5121951219512195,0.11933797909407667,True
right,65,29.922152965028097,2.36281799456389,-0.7,0.0,0.03553203612043764,turn_left,rest,0.0,0.32142857142857145,0.1951219512195122,-0.12630662020905925,True
right,66,29.922152965028097,2.36281799456389,-0.7,0.0,0.03553203612043764,walk_forward,rest,0.0,0.2857142857142857,0.2926829268292683,0.006968641114982577,True
right,67,29.922152965028097,2.36281799456389,-0.7,0.0,0.03553203612043764,turn_right,rest,0.0,0.39285714285714285,0.5121951219512195,0.11933797909407667,True
