scenario,step,requested_action,action,turn_bias,delta_heading,delta_x,delta_y,delta_distance,collision
right,67,turn_right,rest,0.11933797909407667,0.0,0.0,0.0,0.0,True
right,68,turn_left,rest,-0.12630662020905925,0.0,0.0,0.0,0.0,True
right,69,walk_forward,rest,0.006968641114982577,0.0,0.0,0.0,0.0,True
right,70,turn_right,rest,0.11933797909407667,0.0,0.0,0.0,0.0,True
right,71,turn_left,rest,-0.12630662020905925,0.0,0.0,0.0,0.0,True
right,72,walk_forward,rest,0.006968641114982577,0.0,0.0,0.0,0.0,True
right,73,turn_right,rest,0.11933797909407667,0.0,0.0,0.0,0.0,True
right,74,turn_left,rest,-0.12630662020905925,0.0,0.0,0.0,0.0,True
right,75,walk_forward,rest,0.006968641114982577,0.0,0.0,0.0,0.0,True
right,76,turn_right,rest,0.11933797909407667,0.0,0.0,0.0,0.0,True
right,77,turn_left,rest,-0.12630662020905925,0.0,0.0,0.0,0.0,True
right,78,walk_forward,rest,0.006968641114982577,0.0,0.0,0.0,0.0,True
right,79,turn_right,rest,0.11933797909407667,0.0,0.0,0.0,0.0,True
right,80,turn_left,rest,-0.12630662020905925,0.0,0.0,0.0,0.0,True
right,81,walk_forward,rest,0.006968641114982577,0.0,0.0,0.0,0.0,True
right,82,turn_right,rest,0.11933797909407667,0.0,0.0,0.0,0.0,True
right,83,turn_left,rest,-0.12630662020905925,0.0,0.0,0.0,0.0,True
right,84,walk_forward,rest,0.006968641114982577,0.0,0.0,0.0,0.0,True
right,85,turn_right,rest,0.11933797909407667,0.0,0.0,0.0,0.0,True
right,86,turn_left,rest,-0.12630662020905925,0.0,0.0,0.0,0.0,True
right,87,walk_forward,rest,0.006968641114982577,0.0,0.0,0.0,0.0,True
right,88,turn_right,rest,0.11933797909407667,0.0,0.0,0.0,0.0,True
right,89,turn_left,rest,-0.12630662020905925,0.0,0.0,0.0,0.0,True
right,90,walk_forward,rest,0.006968641114982577,0.0,0.0,0.0,0.0,True
right,91,turn_right,rest,0.11933797909407667,0.0,0.0,0.0,0.0,True
right,92,turn_left,rest,-0.12630662020905925,0.0,0.0,0.0,0.0,True
right,93,walk_forward,rest,0.006968641114982577,0.0,0.0,0.0,0.0,True
right,94,turn_right,rest,0.11933797909407667,0.0,0.0,0.0,0.0,True
right,95,turn_left,rest,-0.12630662020905925,0.0,0.0,0.0,0.0,True
right,96,walk_forward,rest,0.006968641114982577,0.0,0.0,0.0,0.0,True
right,97,turn_right,rest,0.11933797909407667,0.0,0.0,0.0,0.0,True
right,98,turn_left,rest,-0.12630662020905925,0.0,0.0,0.0,0.0,True
right,99,walk_forward,rest,0.006968641114982577,0.0,0.0,0.0,0.0,True
front,1,walk_forward,walk_forward,-0.010452961672473782,0.0,0.46968635642368994,-0.17144890372772537,-0.4647422703185313,False
front,2,walk_forward,walk_forward,-0.06620209059233448,0.0,0.46968635642368994,-0.17144890372772537,-0.4607890802343473,False
front,3,walk_forward,walk_forward,0.07665505226480837,0.0,0.46968635642368994,-0.17144890372772537,-0.4561653528896539,False
front,4,walk_forward,walk_forward,-0.010452961672473782,0.0,0.46968635642368994,-0.17144890372772537,-0.45071976174502826,False
front,5,walk_forward,walk_forward,-0.06620209059233448,0.0,0.46968635642368994,-0.17144890372772537,-0.4442591962388418,False
front,6,walk_forward,walk_forward,0.07665505226480837,0.0,0.46968635642368994,-0.17144890372772537,-0.4365357265539487,False
front,7,walk_forward,walk_forward,-0.010452961672473782,0.0,0.46968635642368994,-0.17144890372772537,-0.4272295143580189,False
front,8,walk_forward,walk_forward,-0.06620209059233448,0.0,0.46968635642368994,-0.17144890372772537,-0.4159268696383398,False
front,9,walk_forward,walk_forward,0.07665505226480837,0.0,0.46968635642368994,-0.17144890372772537,-0.40209319586526604,False
front,10,walk_forward,walk_forward,-0.010452961672473782,0.0,0.46968635642368994,-0.17144890372772537,-0.3850422283930248,False
front,11,walk_forward,walk_forward,-0.06620209059233448,0.0,0.46968635642368994,-0.17144890372772537,-0.36390698467402505,False
front,12,walk_forward,walk_forward,0.07665505226480837,0.0,0.46968635642368994,-0.17144890372772537,-0.33762621911691326,False
front,13,walk_forward,walk_forward,-0.010452961672473782,0.0,0.46968635642368994,-0.17144890372772537,-0.30497517383833816,False
front,14,walk_forward,walk_forward,-0.06620209059233448,0.0,0.46968635642368994,-0.17144890372772537,-0.2646904195680557,False
front,15,walk_forward,walk_forward,0.07665505226480837,0.0,0.46968635642368994,-0.17144890372772537,-0.2157531571057527,False
front,16,walk_forward,walk_forward,-0.010452961672473782,0.0,0.46968635642368994,-0.17144890372772537,-0.15786574710180057,False
front,17,walk_forward,walk_forward,-0.06620209059233448,0.0,0.46968635642368994,-0.17144890372772537,-0.09202618075759306,False
front,18,walk_forward,walk_forward,0.07665505226480837,0.0,0.46968635642368994,-0.17144890372772537,-0.020884095943429326,False
front,19,walk_forward,walk_forward,-0.010452961672473782,0.0,0.46968635642368994,-0.17144890372772537,0.051538237443387036,False
front,20,walk_forward,walk_forward,-0.06620209059233448,0.0,0.46968635642368994,-0.17144890372772537,0.12085408156786315,False
front,21,walk_forward,walk_forward,0.07665505226480837,0.0,0.46968635642368994,-0.17144890372772537,0.18353874829629646,False
front,22,walk_forward,walk_forward,-0.010452961672473782,0.0,0.46968635642368994,-0.17144890372772537,0.2376556509283887,False
front,23,walk_forward,walk_forward,-0.06620209059233448,0.0,0.46968635642368994,-0.17144890372772537,0.28282358454204015,False
front,24,walk_forward,walk_forward,0.07665505226480837,0.0,0.46968635642368994,-0.17144890372772537,0.3197158555826931,False
front,25,walk_forward,walk_forward,-0.010452961672473782,0.0,0.46968635642368994,-0.17144890372772537,0.34950240153102996,False
front,26,walk_forward,walk_forward,-0.06620209059233448,0.0,0.46968635642368994,-0.17144890372772537,0.37345416357679007,False
front,27,walk_forward,walk_forward,0.07665505226480837,0.0,0.46968635642368994,-0.17144890372772537,0.3927347864279964,False
front,28,walk_forward,walk_forward,-0.010452961672473782,0.0,0.46968635642368994,-0.17144890372772537,0.4083232349138868,False
front,29,walk_forward,walk_forward,-0.06620209059233448,0.0,0.46968635642368994,-0.17144890372772537,0.4210066590329449,False
front,30,walk_forward,walk_forward,0.07665505226480837,0.0,0.46968635642368994,-0.17144890372772537,0.43140300581170443,False
front,31,walk_forward,rest,-0.010452961672473782,0.0,0.0,0.0,0.0,True
front,32,walk_forward,rest,-0.06620209059233448,0.0,0.0,0.0,0.0,True
front,33,walk_forward,rest,0.07665505226480837,0.0,0.0,0.0,0.0,True
front,34,walk_forward,rest,-0.010452961672473782,0.0,0.0,0.0,0.0,True
front,35,walk_forward,rest,-0.06620209059233448,0.0,0.0,0.0,0.0,True
front,36,walk_forward,rest,0.07665505226480837,0.0,0.0,0.0,0.0,True
front,37,walk_forward,rest,-0.010452961672473782,0.0,0.0,0.0,0.0,True
front,38,walk_forward,rest,-0.06620209059233448,0.0,0.0,0.0,0.0,True
front,39,walk_forward,rest,0.07665505226480837,0.0,0.0,0.0,0.0,True
